[true theta], [true dTheta], [ar], [at], [imu dtheta]
1.713457, 0.633116, 0.827393, 0.550293, 0.666205
1.719592, 0.630327, 0.824951, 0.554688, 0.660884
1.725728, 0.626143, 0.837402, 0.552979, 0.657691
1.731864, 0.620565, 0.811768, 0.553223, 0.656627
1.738000, 0.620565, 0.814209, 0.562744, 0.661948
1.744136, 0.626143, 0.810547, 0.561523, 0.660884
1.750272, 0.630327, 0.812744, 0.566162, 0.663012
1.756408, 0.633116, 0.803467, 0.574707, 0.666205
1.762544, 0.634510, 0.810303, 0.570557, 0.667269
1.770214, 0.634510, 0.799805, 0.577148, 0.672590
1.776350, 0.633116, 0.788574, 0.597656, 0.680040
1.782486, 0.630327, 0.787842, 0.602539, 0.672590
1.788622, 0.626143, 0.783691, 0.619141, 0.661948
1.794758, 0.620565, 0.791260, 0.630127, 0.653434
1.800893, 0.613592, 0.771729, 0.624268, 0.642792
1.807029, 0.613592, 0.777100, 0.622803, 0.628957
1.813165, 0.613592, 0.774658, 0.622803, 0.624700
1.819301, 0.613592, 0.771240, 0.623047, 0.628957
1.825437, 0.613592, 0.765625, 0.622803, 0.630021
1.831573, 0.620565, 0.762695, 0.616211, 0.639599
1.837709, 0.626143, 0.767090, 0.615723, 0.653434
1.843845, 0.637299, 0.755127, 0.622559, 0.670462
1.849981, 0.645666, 0.749756, 0.627686, 0.678976
1.856117, 0.651245, 0.737061, 0.639893, 0.701324
1.863787, 0.654034, 0.739746, 0.646484, 0.713031
1.869923, 0.654034, 0.735107, 0.666260, 0.718352
1.877592, 0.651245, 0.737305, 0.694336, 0.710902
1.883728, 0.645666, 0.732910, 0.702148, 0.694939
1.889864, 0.630327, 0.715576, 0.696289, 0.670462
1.896000, 0.613592, 0.721191, 0.702637, 0.656627
1.902136, 0.596858, 0.720459, 0.722900, 0.639599
