aX, aY, aZ, rX, rY, rZ
732, -5496, 15856, 7381, 233, -140,
564, -4976, 15776, 8740, 289, -150,
920, -5148, 15664, 10358, 239, -153,
720, -4444, 16004, 11983, 329, -178,
596, -3396, 15444, 13268, 353, -188,
-336, -1880, 15268, 14096, 2, -192,
1152, -1048, 15616, 14658, 253, -189,
612, -1012, 15348, 15360, 193, -198,
676, -1028, 15048, 16278, 247, -191,
648, 520, 14436, 17222, 81, -413,
5136, 8476, 17244, 13587, 642, -184,
-4128, 11320, 14048, 9264, 14, -208,
2388, 10820, 15388, 4248, 216, -83,
776, 6580, 16064, 1657, -67, -97,
780, 2876, 16700, 1183, 118, -92,
808, 232, 15204, 2455, 335, -115,
832, -468, 15940, 4661, -144, -118,
1312, 1552, 16020, 6314, 346, -133,
304, 7052, 15052, 5507, 149, -100,
452, 12740, 15776, 1357, 80, -77,
504, 11876, 15876, -3481, -109, -65,
900, 8932, 15380, -6905, 14, -33,
116, 5856, 15304, -8798, -236, -18,
1588, 4408, 15828, -9568, 60, -4,
336, 2640, 15436, -9716, -64, 11,
1104, 1380, 15980, -9091, 156, 31,
312, -340, 15664, -7847, -34, 14,
1008, -700, 15968, -6323, 57, 12,
608, -132, 16028, -5072, -61, -45,
868, -36, 16428, -4097, 111, -25,
452, -68, 15976, -3202, 16, -35,
656, -376, 16344, -2269, 12, -50,
680, -1888, 16276, -776, 42, -46,
716, -3088, 16544, 1537, 178, -10,
1120, -3620, 16240, 4321, 82, -85,
660, -3232, 16076, 7225, 122, -134,
808, -1504, 15596, 9457, 252, -131,
792, 1212, 15424, 10524, 204, -110,
604, 3516, 15500, 10598, 242, -126,
536, 6588, 15624, 8977, 206, -135,
444, 7580, 16012, 6632, 174, -118,
484, 7216, 15776, 4466, 111, -147,
0, 7228, 15516, 2575, -40, -118,
900, 7472, 15620, 564, -132, -117,
920, 7488, 15836, -1495, -62, -67,
600, 6768, 15676, -3299, 15, -42,
616, 6820, 15608, -5066, -8, -40,
744, 6468, 15604, -6778, -57, 15,
804, 5568, 15800, -8306, 74, 1,
476, 4052, 15564, -9269, -55, 10,
820, 1220, 15936, -9011, -1, -12,
484, -652, 16088, -7571, 28, -11,
180, -1984, 16124, -5403, 76, -18,
620, -2992, 16108, -2852, -81, -35,
620, -3264, 16348, 66, -23, -56,
1192, -2036, 16288, 2534, 221, -105,
584, -1192, 16196, 4471, 242, -149,
140, -1176, 15992, 6324, 177, -98,
960, -1112, 15884, 8284, 103, -132,
-96, 2116, 14924, 9772, -18, -127,
2076, 7164, 16048, 8414, 643, -89,
24, 12576, 15040, 4184, -152, -123,
572, 12660, 15636, -1457, 14, -91,
956, 9208, 16044, -5401, -24, -45,
296, 6016, 15600, -7536, 26, -16,
468, 3596, 15592, -8308, -15, -7,
1068, 1764, 16160, -8043, -33, -15,
408, 384, 15608, -7106, 30, 2,
836, -476, 15892, -5745, -9, -39,
68, -1612, 16496, -3856, -19, -24,
1116, -1552, 16596, -1931, 72, -57,
-192, -1464, 16108, -58, 25, -86,
1020, -1416, 16636, 1737, 135, -76,
384, -1260, 16008, 3607, 99, -70,
2880, 4348, 15844, 3302, 55, -95,
-1136, 8876, 15576, 47, 102, -90,
1468, 8696, 16496, -3950, 50, -49,
-648, 5288, 16012, -6448, -121, -33,
996, 3248, 16664, -7707, 71, -4,
444, 1056, 16056, -7763, 23, -25,
316, -436, 15736, -7107, -28, -24,
396, -1352, 16148, -5927, -60, 8,
944, -1612, 16228, -4634, 108, -7,
812, -1704, 16164, -3401, 1, -69,
436, -1744, 16312, -2203, -16, -81,
968, -1988, 16436, -902, 95, -55,
456, -2020, 16328, 470, 10, -58,
872, -1596, 16480, 1611, 124, -113,
624, -1520, 16084, 2710, 20, -84,
636, -1424, 16100, 3828, 137, -112,
1792, 3652, 16316, 3154, 53, -57,
-1332, 8324, 15696, -463, -115, -60,
1692, 8196, 16688, -4992, 95, -21,
12, 4244, 16328, -7868, -21, -1,
796, 864, 16240, -8877, 171, 39,
-124, -3664, 15832, -7808, -114, -95,
1932, -5536, 16680, -5052, 149, -22,
104, -4524, 16228, -2491, -170, -71,
916, -3472, 16368, -682, 101, -39,
1116, -2844, 16244, 695, 74, -91,
624, -2692, 16252, 1940, 75, -92,
920, -2428, 16192, 3103, 177, -78,
544, -1732, 16400, 4102, 65, -111,
484, -1500, 16236, 4880, 250, -90,
864, -1416, 16264, 5680, 38, -110,
4220, 3084, 16916, 4181, 183, -35,
-2476, 6692, 15536, 1203, -208, -65,
2528, 5872, 16560, -2223, 355, -20,
-668, 2492, 16336, -3990, -296, -80,
1740, -1080, 16968, -3963, 353, -18,
240, -1492, 15572, -3010, -167, -64,
-780, -5604, 15992, -1206, -101, 29,
3680, -9356, 16848, 3806, 85, -92,
-508, -5588, 15888, 8033, 395, -182,
1876, -2048, 15532, 10029, 257, -141,
-940, -1092, 15340, 11191, -120, -177,
5468, 7844, 17808, 7448, 829, -13,
-1788, 16476, 14780, -69, -643, -154,
2260, 10684, 15504, -6799, 294, -11,
1868, 3388, 15884, -9225, 10, 3,
-328, -444, 15844, -9061, 194, 36,
1000, -2540, 15688, -7669, 66, 19,
888, -14300, 17344, -833, -15, -67,
-200, -11936, 16464, 7080, 295, -120,
448, -3668, 15964, 10839, -305, -223,
924, -1088, 16288, 12278, 166, -174,
2828, 12116, 16020, 7649, 535, -21,
1656, 21248, 14292, -2410, -325, -147,
1696, 13888, 15512, -11042, -91, -7,
2060, 3664, 15528, -14293, 371, 119,
-1152, -1184, 15436, -13890, -191, 30,
2176, -5532, 15660, -11970, 1993, 649,
1856, -22852, 15072, -302, -18, -149,
744, -11216, 15248, 8598, 71, -163,
940, -1488, 16036, 10880, -171, -114,
-1112, 1088, 16688, 11417, 203, -119,
1060, 15404, 16856, 5139, 114, -110,
172, 15712, 16736, -4005, -235, -180,
1876, 2860, 15784, -7324, 242, -7,
-104, -1520, 15836, -6321, 75, 16,
780, -1600, 16596, -5173, 30, -51,
780, -9416, 17216, -2054, 206, 15,
488, -12020, 16360, 5189, 25, -104,
428, -3368, 16196, 8928, -39, -167,
1476, -1280, 16176, 10250, 332, -141,
1272, 9392, 15732, 7288, 141, -93,
-924, 12160, 15328, 1729, -402, -118,
2024, 11152, 17280, -4416, 203, -51,
528, 4672, 16004, -7406, 102, 27,
-508, 464, 15756, -7652, 104, 4,
764, -1644, 16344, -6522, -94, -23,
604, -1984, 16548, -5056, 111, -52,
76, -9032, 15784, -376, 23, -72,
948, -5216, 16184, 3964, 58, -100,
780, -1392, 16460, 5682, 17, -117,
604, 4924, 16704, 4692, -77, -63,
-2688, 8824, 15564, 960, -240, -108,
2384, 8172, 17408, -3660, 182, -45,
-80, 3792, 16248, -6002, -7, -19,
2636, -412, 15852, -6384, 296, -125,
1360, -1084, 15756, -5685, -26, -46,
228, -1696, 15908, -4581, 18, -41,
1660, -1912, 15904, -3371, 183, -22,
208, -1560, 16172, -2346, -100, -49,
1164, -104, 16664, -2105, 293, -2,
288, 824, 16236, -2414, -98, -59,
516, 568, 16172, -2992, 56, -51,
992, 808, 16544, -3498, -32, -44,
632, 1048, 16220, -4324, 22, -12,
64, 1268, 15556, -5363, -217, -36,
1484, 820, 16748, -6484, 153, 7,
568, 708, 16208, -7560, -38, -28,
540, -940, 15792, -8053, 107, -6,
708, -1876, 16108, -8053, -80, -10,
636, -2020, 15976, -8056, 48, 11,
568, -2152, 15600, -8072, -42, 0,
756, -1684, 15944, -8386, -99, -6,
1132, -1576, 15956, -9134, 82, 21,
592, -2772, 15676, -9612, 40, 12,
464, -4784, 15368, -9243, 66, 32,
768, -7956, 15628, -7600, -33, -28,
304, -13520, 15568, -3305, 3, -61,
784, -15808, 15952, 2979, 122, -85,
1068, -13092, 15576, 8985, 99, -77,
652, -11520, 14832, 13459, 100, -182,
660, -9536, 15016, 17471, 90, -198,
1340, -7408, 14880, 20681, 395, -264,
432, -3640, 14092, 22459, 442, -305,
-284, -1220, 13732, 22860, 245, -265,
1332, 3780, 13740, 22164, 331, -212,
640, 11180, 14520, 17726, 519, -197,
1348, 14360, 15224, 10786, 113, -173,
-420, 13068, 15740, 4026, -152, -130,
1252, 10864, 16444, -1351, -19, -98,
304, 10788, 16008, -6228, -135, -60,
248, 10572, 15328, -11323, -257, -20,
1720, 7172, 15920, -15447, 193, 76,
516, 3968, 14812, -17966, -58, 81,
-192, 1132, 14464, -18649, -122, 62,
920, 224, 14832, -19213, -61, 98,
1064, -672, 14632, -19780, 0, 127,
-2580, -4104, 13340, -19528, -707, -72,
5108, -16804, 16680, -13545, -645, 38,
1876, -12512, 16720, -7341, 468, 120,
500, -11296, 14452, -2812, 698, 42,
972, -10440, 15072, 1347, 417, -65,
492, -10832, 16532, 5441, 129, -127,
748, -11980, 15616, 10100, 408, -93,
-112, -12200, 14692, 15670, -31, -223,
940, -9540, 15452, 20158, 226, -232,
528, -5536, 14020, 23177, 272, -242,
108, -3212, 13516, 24877, 160, -311,
1532, 5792, 13696, 24146, 400, -251,
-76, 7084, 13576, 21223, 297, -253,
1120, 5060, 14264, 18944, 121, -221,
1232, 6172, 15144, 17533, 336, -220,
-52, 11056, 14260, 14096, 285, -188,
616, 14692, 14844, 8563, 24, -134,
352, 16680, 15724, 1789, -141, -115,
912, 14912, 15416, -4620, -51, -51,
188, 12908, 14916, -9942, -195, -15,
1156, 10640, 15488, -14186, -86, 42,
388, 8628, 14740, -17467, -40, 84,
660, 6812, 14388, -20153, -84, 108,
832, 5580, 14380, -22408, -60, 162,
372, 3760, 13660, -24307, -121, 129,
396, -416, 13620, -24764, -341, 133,
1000, -2160, 14036, -24240, -591, 111,
1144, -5004, 14052, -23015, -44, 180,
648, -7432, 14196, -20752, -41, 228,
376, -8624, 15240, -17918, -8, 156,
196, -9056, 15368, -15000, 126, 123,
108, -9376, 15180, -12215, 118, 45,
48, -9252, 15012, -9726, -91, 38,
680, -10248, 15368, -7071, -88, -12,
712, -12940, 15180, -3415, -79, -49,
852, -14288, 15448, 1307, -38, -90,
628, -14124, 15452, 6213, -40, -118,
704, -13348, 14980, 10908, -32, -163,
1056, -12276, 15064, 15240, 90, -192,
992, -10668, 14544, 19028, 265, -229,
1160, -10092, 13860, 22581, 588, -294,
884, -6940, 13108, 25343, 374, -262,
1200, -3592, 12468, 26845, 296, -344,
1148, -1820, 12800, 27638, 317, -305,
1236, -740, 13180, 28197, 490, -293,
592, 704, 12648, 28697, 572, -328,
196, 3460, 12372, 28718, 336, -382,
648, 7024, 12396, 27439, 354, -336,
512, 10280, 12588, 24748, 312, -292,
224, 11248, 12704, 21345, 161, -221,
652, 10728, 13352, 18669, 259, -211,
392, 11284, 13356, 16364, 178, -220,
352, 12192, 13564, 13943, 181, -221,
268, 13140, 13364, 11117, 72, -180,
348, 13336, 13236, 8233, 41, -140,
984, 14504, 13508, 5164, 176, -104,
796, 17220, 13560, 803, 293, -55,
52, 17456, 13004, -4126, 68, -70,
276, 16204, 13468, -8638, 17, -10,
392, 15484, 13440, -12703, -88, 51,
500, 15288, 13288, -16942, -17, 67,
200, 14348, 12552, -21175, -163, 107,
640, 11620, 12384, -24505, -178, 102,
544, 8244, 12264, -26500, -263, 131,
764, 5948, 12272, -27475, -281, 169,
652, 4372, 12704, -27951, -304, 148,
776, 2872, 12968, -28259, -227, 204,
376, 696, 12724, -28009, -168, 207,
780, -1352, 13164, -27167, -166, 185,
428, -2396, 13300, -26116, -313, 175,
1216, -2932, 13592, -25336, -198, 144,
440, -4660, 13520, -24390, -145, 141,
976, -8080, 13804, -22255, -45, 134,
852, -8736, 14272, -19592, -64, 133,
560, -7304, 14480, -17924, -22, 124,
472, -6484, 13964, -17113, -65, 87,
796, -7192, 14028, -16624, -198, 60,
956, -9768, 13976, -15357, -62, 59,
572, -12296, 13828, -12702, -79, 25,
592, -13428, 13808, -9664, -15, -14,
932, -15052, 14200, -5780, -131, -33,
700, -14644, 14284, -1930, -142, -74,
1016, -15012, 14336, 1949, 4, -86,
1000, -14596, 14292, 5849, 92, -101,
640, -13772, 14084, 9353, 180, -153,
836, -12356, 13968, 12404, 268, -164,
784, -11020, 14008, 15030, 302, -187,
608, -9084, 13876, 16784, 362, -216,
708, -7648, 13864, 18062, 259, -221,
860, -7416, 13848, 19341, 291, -255,
668, -5504, 13840, 20462, 226, -197,
568, -3816, 14008, 20730, 198, -287,
876, -2492, 14196, 20784, 219, -275,
1464, -1876, 14728, 20790, 352, -256,
876, -2124, 14572, 21287, 472, -252,
464, -2172, 13480, 22284, 309, -256,
928, -368, 13872, 22770, 129, -298,
712, 1152, 13916, 22977, 218, -325,
1240, 3316, 14272, 22903, 323, -284,
-488, 6028, 14736, 21406, 190, -279,
616, 6520, 14360, 19980, 301, -267,
-408, 6872, 13452, 18843, 93, -281,
1200, 5992, 14232, 18200, 161, -233,
1600, 6960, 13120, 17998, 508, -173,
-500, 10164, 12828, 16436, 297, -188,
804, 11736, 14268, 14109, 270, -151,
24, 14080, 13860, 11045, 148, -203,
484, 15252, 13644, 7043, 146, -159,
816, 14436, 13760, 3315, 114, -108,
452, 15012, 13712, -308, 141, -69,
364, 16352, 13556, -4531, -41, -11,
540, 12992, 13452, -8034, -370, -48,
1352, 10064, 14024, -9542, 50, 24,
556, 9480, 13892, -10623, 81, 50,
628, 10184, 13824, -12109, 82, 49,
224, 10376, 13796, -14027, -93, 30,
896, 9420, 13816, -15928, -196, 39,
200, 8656, 13792, -17611, -328, 40,
1208, 6484, 14196, -18657, -212, 90,
580, 5012, 14024, -19117, -125, 113,
764, 3888, 14312, -19362, -121, 90,
500, 3216, 14444, -19330, -43, 146,
624, 4072, 14328, -20215, -57, 128,
864, 2076, 14468, -20973, 30, 150,
180, -596, 14420, -20553, -121, 104,
756, -1712, 15084, -19705, -45, 122,
340, -2112, 14688, -19015, -169, 90,
1132, -3260, 14808, -18000, -140, 103,
656, -3908, 14920, -17174, -37, 88,
244, -8308, 15576, -14669, -89, 98,
0, -4964, 15496, -13150, -109, 49,
748, -4376, 15488, -12707, -45, 54,
496, -4440, 15096, -12575, -18, 53,
1184, -4412, 15048, -12655, 75, 44,
500, -5464, 14460, -12815, 34, 48,
896, -6424, 14552, -12451, -15, 16,
904, -6928, 14548, -11995, -88, 30,
760, -7380, 14388, -11556, -41, 52,
852, -7632, 14116, -11181, 26, 43,
576, -8568, 13972, -10598, -144, 21,
896, -9572, 14216, -9633, -5, 46,
888, -9964, 14036, -8481, -62, 16,
488, -10004, 13956, -7377, 15, 25,
760, -10288, 13764, -6386, -54, -23,
696, -11048, 13908, -5098, 53, -7,
844, -11260, 13764, -3641, 12, -31,
556, -11556, 13680, -2258, -9, -70,
824, -13164, 13656, -90, 40, -72,
608, -13692, 13476, 2536, 39, -84,
1144, -14084, 13756, 5479, 222, -106,
640, -13784, 13684, 8538, 169, -135,
740, -12544, 13600, 11190, 195, -175,
748, -10816, 13780, 13086, 204, -180,
452, -9864, 13596, 14575, 160, -218,
992, -9900, 13996, 16148, 226, -212,
808, -9004, 13764, 17903, 271, -230,
728, -7844, 13756, 19318, 287, -237,
228, -4972, 13356, 20053, 204, -275,
1756, -4360, 14132, 19818, 165, -273,
-128, -4148, 13792, 20248, 94, -289,
900, -3888, 14116, 21115, 268, -293,
1940, -2788, 14788, 21797, 279, -266,
820, -1168, 14440, 22067, 324, -287,
828, 596, 13988, 21849, 374, -301,
180, 2000, 14036, 21300, 156, -287,
1296, 2124, 14456, 20924, 320, -273,
620, 2436, 14292, 20856, 413, -238,
3368, 5436, 14728, 19593, 411, -182,
-960, 6788, 14128, 18073, 64, -180,
1508, 7000, 14692, 16647, 408, -216,
-80, 7284, 14108, 15255, 79, -240,
420, 7492, 14404, 14408, 164, -223,
436, 6736, 14008, 13931, 61, -220,
648, 6972, 13792, 13753, 110, -217,
1100, 7968, 13740, 13495, 299, -175,
220, 8992, 13200, 13025, 112, -192,
1188, 9728, 13376, 12129, 299, -180,
412, 9624, 13284, 11482, 209, -162,
796, 9680, 12840, 11075, 244, -153,
188, 9532, 12732, 10899, 159, -161,
836, 9856, 12672, 10916, 173, -162,
736, 10728, 11880, 10733, 158, -168,
548, 11532, 11768, 10197, 164, -161,
688, 13112, 12040, 9165, 225, -131,
700, 13332, 11208, 7780, 131, -154,
596, 13280, 11188, 6515, 127, -122,
632, 12936, 11364, 5487, 16, -116,
440, 11944, 11268, 4995, 28, -124,
620, 10948, 11260, 5172, 77, -149,
544, 10400, 10828, 5873, 124, -133,
600, 10556, 10520, 6727, 168, -131,
652, 11356, 10408, 7405, 166, -126,
744, 12188, 10036, 7702, 221, -124,
516, 13684, 9880, 7321, 214, -122,
508, 15088, 9820, 6208, 178, -101,
252, 14712, 9460, 5016, 66, -111,
552, 13664, 9508, 4374, -3, -119,
752, 13180, 9360, 4263, 76, -112,
432, 12768, 9032, 4402, 110, -124,
628, 12648, 9064, 4735, 100, -106,
588, 13040, 8884, 4998, 143, -98,
312, 13696, 8712, 5012, 133, -123,
480, 14072, 8456, 4829, 96, -111,
520, 13784, 8332, 4647, 63, -117,
592, 13532, 8364, 4777, 105, -115,
424, 13824, 7832, 4896, 118, -111,
500, 14072, 7964, 4892, 112, -117,
512, 14620, 7468, 4677, 150, -69,
400, 15840, 7404, 3929, -8, -91,
624, 16528, 7824, 2646, 114, -88,
364, 15748, 7540, 1702, -38, -87,
636, 14464, 7076, 1405, 167, -68,
564, 13480, 7120, 1791, 93, -115,
440, 13412, 7056, 2410, 116, -90,
440, 14364, 7132, 2620, 33, -84,
496, 14768, 7100, 2543, 121, -94,
360, 14788, 6840, 2430, 120, -91,
376, 16388, 6656, 1742, 139, -71,
184, 17852, 6604, 159, 71, -77,
420, 18372, 6648, -1919, -31, -79,
504, 18596, 6568, -4119, -4, -44,
528, 19340, 6824, -6674, 2, -48,
348, 19620, 6720, -9611, -10, -9,
480, 19408, 6800, -12655, -73, 28,
492, 18556, 6776, -15356, -42, 41,
508, 17272, 7192, -17598, -98, 87,
480, 15640, 7684, -19190, -160, 79,
476, 14612, 8296, -20314, -143, 101,
496, 14048, 8696, -21343, -120, 98,
512, 13540, 8908, -22345, -166, 121,
468, 12712, 9352, -23334, -186, 151,
480, 11020, 10036, -23855, -162, 121,
460, 9432, 10448, -23846, -128, 143,
496, 8488, 11080, -23570, -145, 109,
636, 7332, 11792, -23091, -88, 142,
480, 7164, 12080, -22787, -118, 118,
772, 7396, 12592, -22981, -127, 136,
420, 7668, 12688, -23835, -146, 143,
820, 6664, 12976, -24801, -148, 138,
616, 5496, 13236, -25641, -79, 158,
112, 1656, 13200, -24886, -86, 154,
504, 2500, 13440, -24889, -307, 137,
576, 1924, 13576, -25264, -432, 149,
1196, 912, 13840, -25640, -283, 142,
496, -464, 13332, -25933, -202, 167,
720, -1860, 13340, -25885, -248, 169,
620, -3132, 13452, -25693, -200, 175,
888, -3780, 13332, -25644, -132, 193,
724, -4696, 12912, -25583, -191, 182,
404, -5932, 12624, -25589, -111, 205,
920, -7160, 12520, -25195, -136, 158,
88, -9524, 11904, -24199, -396, 146,
928, -9268, 12088, -23297, -274, 132,
744, -9144, 11700, -23032, -153, 179,
464, -11356, 10896, -22309, -337, 146,
796, -15532, 11140, -20041, -376, 146,
1284, -22292, 11584, -14596, -235, 98,
1392, -21828, 11960, -7939, 147, 40,
268, -19208, 11584, -3084, 100, -36,
1192, -20172, 11828, 1987, 127, -114,
548, -19460, 11748, 6750, 181, -130,
1104, -18556, 11748, 11158, 241, -172,
424, -17952, 11396, 15342, 254, -220,
1148, -15428, 11652, 18969, 425, -280,
748, -11404, 11476, 20725, 460, -257,
352, -5632, 11680, 20011, 291, -249,
672, -356, 12600, 16298, 185, -235,
448, 3220, 13732, 10559, 97, -185,
436, 5128, 14072, 3611, 21, -102,
396, 3916, 14440, -3182, -101, -67,
748, 576, 14200, -8422, -112, -22,
716, -1920, 13448, -12193, -131, 40,
972, -4196, 13176, -14872, 16, 84,
696, -6036, 12652, -16646, -34, 108,
216, -8492, 11876, -17476, -135, 84,
1340, -11988, 12104, -16842, 7, 108,
652, -15628, 11732, -14364, 5, 79,
484, -20296, 11716, -9545, 18, 17,
984, -21560, 12204, -3523, -10, -47,
692, -19724, 12140, 1822, 37, -64,
620, -20148, 11860, 6988, 33, -157,
864, -19660, 12224, 12342, 8, -192,
884, -17768, 11812, 16897, 169, -235,
688, -15652, 11492, 20622, 263, -289,
888, -14216, 11520, 23772, 248, -335,
728, -12080, 11484, 26270, 381, -350,
708, -8092, 11428, 27411, 394, -361,
1064, -5632, 11740, 27312, 395, -373,
796, -4948, 12136, 27085, 323, -383,
768, -4528, 12428, 27173, 304, -373,
1048, -3448, 12848, 27362, 342, -363,
444, -2400, 13028, 27458, 407, -362,
744, -420, 13212, 27288, 429, -330,
388, 2188, 13424, 26402, 500, -286,
192, 3544, 13468, 24989, 330, -322,
592, 5376, 13716, 23255, 296, -289,
504, 7632, 13908, 20709, 275, -223,
724, 9172, 14368, 17709, 292, -184,
444, 9760, 14704, 14549, 171, -178,
772, 10044, 14912, 11541, 224, -171,
500, 11512, 14960, 8203, 144, -135,
544, 12104, 14976, 4443, 106, -111,
416, 11936, 15124, 792, 37, -76,
664, 12004, 15216, -2818, 61, -32,
616, 11700, 15060, -6306, -17, -31,
476, 10632, 15028, -9701, -46, 3,
696, 8132, 14872, -11917, -88, 33,
692, 7460, 15000, -13637, -77, 42,
748, 8024, 14744, -15742, -57, 80,
468, 7536, 14476, -18235, -156, 55,
696, 6064, 14236, -20449, -88, 107,
584, 4180, 14068, -22079, -195, 108,
716, 1928, 14096, -22911, -175, 111,
728, -1564, 14376, -22082, -177, 149,
512, -1600, 14300, -21518, -156, 145,
624, -2628, 14252, -21047, -205, 119,
836, -4480, 14484, -20121, -223, 132,
792, -4856, 14688, -19069, -119, 117,
780, -5084, 14348, -18277, -187, 82,
628, -5772, 14436, -17543, -79, 105,
812, -5780, 14308, -17135, -124, 84,
484, -6612, 14020, -16796, -73, 101,
428, -6896, 13816, -16374, -167, 75,
476, -6940, 13804, -16226, -189, 92,
808, -7728, 13328, -16308, -154, 103,
876, -10032, 13184, -15502, -80, 92,
940, -10560, 13124, -14320, -19, 89,
644, -10700, 12696, -13320, -39, 67,
928, -11812, 12620, -12012, -64, 64,
1048, -12208, 12668, -10579, -42, 42,
944, -12580, 12308, -9141, -74, 26,
1004, -12900, 12296, -7660, 14, 16,
324, -14340, 12164, -5744, -78, -11,
876, -15896, 12340, -2982, -5, -38,
912, -16424, 12436, 213, 14, -79,
784, -15972, 12364, 3260, 144, -72,
660, -15948, 12296, 6325, 186, -116,
848, -15048, 12320, 9167, 183, -162,
704, -14216, 12304, 11642, 222, -172,
664, -13284, 12372, 13806, 199, -207,
852, -12296, 12488, 15388, 220, -255,
964, -11144, 12540, 17143, 183, -273,
812, -9988, 12532, 18372, 176, -281,
948, -9208, 12860, 19421, 215, -311,
728, -8268, 13252, 20333, 309, -274,
896, -6480, 13384, 20888, 323, -283,
576, -5664, 13680, 21146, 255, -302,
736, -5144, 13640, 21576, 264, -302,
608, -4012, 13972, 21914, 264, -272,
748, -3008, 13756, 22120, 285, -308,
644, -1764, 14024, 22165, 236, -322,
980, -220, 14164, 21823, 321, -286,
624, 808, 14352, 21336, 348, -271,
628, 1820, 14276, 20752, 321, -254,
644, 2864, 14436, 20039, 309, -269,
476, 4008, 14316, 19116, 219, -246,
540, 5104, 14532, 18035, 225, -248,
520, 5468, 14688, 16926, 206, -217,
472, 5964, 14452, 15960, 129, -249,
648, 6808, 14284, 15106, 99, -219,
828, 7560, 14520, 13733, 91, -208,
576, 8492, 14356, 12352, 97, -215,
768, 8584, 14520, 10898, 151, -189,
560, 8072, 14352, 9963, 101, -197,
900, 7440, 14224, 9647, 198, -153,
704, 7400, 14072, 9659, 289, -165,
568, 7284, 13628, 9847, 237, -168,
248, 8720, 13304, 9760, -5, -160,
776, 9464, 13508, 9185, 69, -159,
1084, 10416, 13440, 8402, 302, -133,
168, 11892, 13200, 6927, 229, -103,
720, 11276, 13080, 5514, 159, -144,
136, 10824, 12812, 4659, 109, -143,
1440, 10236, 13124, 4018, 115, -101,
-24, 10328, 12888, 3759, 107, -122,
1120, 10804, 12836, 3265, 253, -85,
-8, 13168, 12472, 1922, 100, -56,
608, 15460, 12572, -938, 90, -39,
280, 13840, 12856, -3548, 8, -32,
336, 12268, 12896, -5249, 14, -56,
512, 10728, 12888, -6074, -39, -33,
812, 10880, 12948, -6722, -15, -33,
364, 10912, 13016, -7667, -53, -14,
580, 10444, 13116, -8556, -144, 5,
512, 10044, 13356, -9364, -127, 6,
728, 9256, 13576, -9950, -110, 9,
824, 8652, 13672, -10324, 13, 36,
356, 9368, 13768, -10966, -93, 28,
520, 9700, 13800, -12216, -63, 38,
784, 8648, 14156, -13352, -79, 41,
92, 7656, 13924, -14016, -86, 67,
672, 6120, 14224, -14371, -67, 69,
744, 4492, 14556, -14070, -34, 71,
476, 3480, 14844, -13321, -20, 71,
848, 3168, 15060, -12537, 4, 54,
644, 2772, 15212, -11808, 38, 62,
688, 1716, 15376, -10830, 41, 43,
1568, -80, 15276, -8974, 3, 41,
788, 988, 15488, -7600, 164, -5,
576, 1532, 15556, -6852, 108, -4,
440, 1616, 15828, -6305, -43, -11,
784, 2452, 16156, -6283, 62, 3,
708, 3132, 16012, -6823, 48, 13,
504, 3228, 15844, -7602, -3, 13,
760, 3360, 16164, -8631, 21, 18,
624, 4456, 15868, -10316, 130, 25,
144, 4388, 15528, -12438, -85, 37,
888, 3016, 15472, -14281, -107, 23,
808, 376, 15296, -15192, -114, 26,
224, -1660, 15212, -15072, -227, 33,
1056, -2764, 15496, -14547, -159, 49,
720, -5192, 15252, -13232, -243, 17,
1488, -6900, 15968, -10833, -27, 39,
432, -4900, 15700, -9299, -72, 9,
648, -3992, 15644, -8785, -59, 26,
588, -4288, 15532, -8398, -105, 11,
792, -4924, 15716, -7900, -34, 9,
980, -5508, 15552, -7190, 9, -6,
848, -6024, 15480, -6345, -26, -3,
856, -7196, 15536, -5069, -76, -33,
408, -8032, 15492, -3351, -60, -43,
732, -8384, 15768, -1342, 109, -56,
816, -8508, 15644, 623, 78, -70,
736, -8416, 15612, 2646, 98, -105,
756, -8552, 15640, 4716, 82, -114,
896, -5932, 15676, 6083, 189, -127,
676, -3368, 15504, 5969, 218, -98,
648, -1332, 15656, 4667, 175, -103,
456, -1060, 15632, 2990, -34, -117,
816, -2020, 15836, 1798, -76, -123,
424, -1808, 15664, 762, -149, -76,
868, -1216, 15924, -685, 11, -73,
968, -3608, 15808, -1258, -44, -81,
992, -5688, 16128, -425, 132, -46,
1112, -6664, 16156, 1127, 342, -49,
408, -7412, 15956, 3139, 291, -87,
688, -7668, 15828, 5529, 259, -116,
784, -6820, 16056, 7744, 246, -150,
580, -4680, 15564, 9107, 257, -144,
652, -2740, 15592, 9447, 213, -154,
852, -608, 15708, 8810, 114, -163,
564, 1024, 15788, 7415, 43, -141,
656, 2520, 15764, 5229, 25, -126,
544, 5100, 16344, 2004, -13, -89,
436, 5484, 16060, -2099, -124, -49,
572, 3796, 15904, -5548, -126, -36,
776, 392, 16184, -7451, -178, -9,
916, -1156, 16072, -8140, 1, 14,
612, -2048, 15700, -8412, -33, 19,
916, -3368, 15828, -8195, -11, 15,
668, -4764, 15984, -7381, 2, -6,
1008, -6640, 15896, -5656, 82, -13,
636, -8432, 16000, -3093, 167, -6,
1424, -9564, 16116, 94, 224, -66,
680, -9520, 15904, 3674, 221, -100,
676, -8260, 15880, 6867, 287, -115,
608, -6908, 15708, 9280, 218, -158,
688, -5124, 15640, 11023, 194, -178,
684, -3080, 15392, 11890, 209, -200,
820, -1960, 15640, 12239, 194, -183,
