aX, aY, aZ, rX, rY, rZ
324, 15448, 6908, -5720, -36, -16,
492, 15416, 7444, -6346, -99, -40,
536, 15108, 7448, -6894, -71, -48,
536, 14980, 7692, -7451, 28, -20,
404, 15000, 7780, -7961, 4, -11,
428, 14808, 7752, -8574, 25, -3,
520, 14760, 8160, -9208, 10, -17,
504, 14752, 8620, -9978, -61, -5,
500, 14128, 8700, -10587, -38, -3,
468, 13600, 9188, -11076, -25, 2,
452, 12948, 9420, -11293, -34, -15,
332, 12708, 9784, -11439, -25, -17,
528, 12568, 10140, -11701, -74, 34,
416, 11588, 10428, -11645, -135, -11,
772, 10452, 10908, -11164, -32, -9,
572, 10288, 11260, -10528, -36, 8,
576, 10472, 11500, -10141, 32, -13,
428, 10440, 11628, -9967, -35, -21,
508, 10436, 11820, -9927, -45, -3,
452, 10240, 12272, -10050, -39, 7,
524, 9328, 12560, -9819, -70, -5,
672, 8360, 12760, -9279, -38, -20,
592, 8740, 12932, -8885, 25, -6,
356, 8832, 13288, -8786, -91, -31,
780, 8776, 13384, -8813, -5, -21,
488, 8252, 13456, -8742, -31, -18,
696, 8060, 13844, -8690, -51, -7,
556, 7688, 13964, -8618, -43, -28,
596, 6812, 13940, -8284, -45, -23,
584, 6364, 14144, -7742, -60, -5,
640, 6284, 14276, -7251, -40, -4,
552, 6552, 14492, -6978, -17, -39,
764, 7768, 14632, -7429, -68, -29,
540, 8584, 14588, -8523, -10, -9,
664, 7972, 14712, -9749, -76, 12,
556, 7020, 14468, -10708, -26, 8,
684, 5640, 14948, -11072, -75, 16,
484, 4612, 15120, -11078, -34, 10,
700, 4092, 15192, -10844, -64, 7,
740, 4316, 15172, -10881, -7, 30,
604, 4464, 15324, -11227, -11, 31,
668, 3536, 15424, -11536, 34, 26,
496, 2408, 15436, -11417, -12, 36,
604, 1688, 15708, -11019, -31, 25,
540, 1792, 15576, -10779, -35, 20,
824, 1576, 15732, -10800, -11, 4,
-452, 336, 16416, -10480, -164, -2,
728, 1364, 16680, -10539, 77, 40,
180, 2580, 16116, -11404, 12, 25,
460, 1720, 15368, -12679, -44, 2,
712, 768, 15680, -13645, -111, 40,
880, -248, 15492, -14225, -74, 52,
544, -1404, 15128, -14389, -123, 43,
-192, -6344, 15368, -13078, -324, 40,
1120, -6552, 16020, -10769, -24, 39,
484, -3944, 15796, -9469, 47, 13,
384, -3092, 15440, -9531, 2, 20,
772, -3840, 15632, -9573, 39, -8,
980, -4388, 15340, -9475, 29, -8,
996, -4656, 14960, -9362, -1, 11,
940, -4640, 15188, -9364, -87, -7,
680, -4796, 15160, -9539, -5, 15,
696, -4972, 14940, -9799, -5, -10,
768, -5760, 14884, -9826, -52, 11,
740, -6560, 14832, -9725, -52, 1,
